Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats
105,18,12,16,44,15,83,79,89,1366,464
391,69,71,84,90,77,7,10,7,2192,460
85,12,12,11,34,16,77,82,83,1375,461
400,68,87,84,75,86,13,13,10,2119,440
380,83,66,75,81,75,15,7,13,2170,456
358,81,73,63,81,60,14,6,8,2122,470
343,78,63,72,80,50,9,10,9,2141,471
353,81,75,43,78,76,14,10,13,1989,425
358,81,76,39,82,80,7,7,8,2107,447
380,83,74,64,83,76,13,15,13,2098,439
293,74,44,58,74,43,6,8,8,2006,440
319,68,66,67,83,35,7,13,11,2066,465
371,79,82,49,84,77,8,14,15,2105,446
359,87,66,57,81,68,13,13,14,2280,478
374,78,77,60,84,75,12,14,13,2047,440
271,69,26,74,78,24,14,7,7,1824,410
366,84,74,52,83,73,15,8,10,2099,443
377,67,79,69,82,80,8,10,14,2171,458
113,24,19,15,38,17,79,82,84,1364,459
93,12,10,12,48,11,81,82,86,1346,454
256,35,32,79,76,34,14,7,11,1935,419
350,66,70,59,85,70,6,15,8,2173,474
406,78,88,81,79,80,7,12,10,2068,435
382,66,85,77,77,77,6,6,15,2070,439
343,78,74,46,77,68,11,12,8,2002,430
360,73,79,62,74,72,14,7,14,2093,439
84,18,18,11,26,11,75,81,88,1224,453
367,89,74,59,75,70,12,12,13,2212,474
340,81,61,58,82,58,9,12,9,2094,452
393,68,82,81,83,79,9,11,8,2190,464
352,83,58,68,81,62,15,14,14,2172,460
247,36,30,78,75,28,12,8,9,1782,398
350,85,65,57,82,61,12,11,16,2125,450
360,82,76,45,83,74,14,12,16,2082,437
334,61,51,79,78,65,14,12,15,2061,428
351,75,60,56,89,71,13,14,8,2111,429
394,80,82,77,83,72,15,15,13,2190,470
380,74,81,60,83,82,14,15,13,2210,466
367,44,88,83,75,77,8,6,8,1882,413
342,73,61,42,90,76,6,7,7,2135,454
302,76,50,58,76,42,10,14,12,2062,453
329,62,54,74,83,56,9,3,5,2035,439
397,84,83,66,85,79,14,9,16,2073,428
354,74,60,68,80,72,5,10,14,2149,454
346,86,48,74,80,58,8,11,10,2163,442
352,83,63,72,84,50,11,15,10,2094,449
98,19,18,16,32,13,74,80,86,1385,469
350,78,66,53,85,68,12,8,13,2171,446
301,54,36,84,77,50,10,7,10,1870,405
115,30,12,20,38,15,74,81,86,1354,458
384,68,83,75,79,79,9,5,6,2076,438
339,76,77,47,75,64,15,11,10,1961,433
208,27,25,80,60,16,8,15,12,1638,373
72,11,11,11,30,9,69,83,87,1197,443
353,79,79,43,84,68,5,13,12,2049,434
363,79,76,48,82,78,9,14,6,2103,433
376,81,78,59,86,72,15,12,12,2141,446
92,15,15,14,35,13,80,83,84,1299,455
258,25,37,82,75,39,9,13,11,1872,406
362,78,71,50,88,75,5,5,13,2158,451
74,13,13,11,25,12,79,83,85,1242,456
393,67,84,85,82,75,11,6,8,2279,478
359,82,61,75,82,59,9,8,11,2172,466
343,70,74,59,84,56,5,5,8,2173,471
391,76,75,81,81,78,4,2,4,2241,470
388,63,88,83,77,77,13,15,15,1918,408
367,73,75,59,85,75,14,8,11,2270,478
374,84,73,73,81,63,5,5,9,2209,472
417,87,81,84,80,85,11,5,6,2213,465
356,80,71,55,85,65,7,7,10,2161,449
331,70,54,78,77,52,9,12,7,2039,426
99,14,13,13,46,13,78,81,84,1287,453
400,68,86,80,78,88,10,9,12,1996,407
393,78,85,67,81,82,8,13,10,2005,422
391,85,73,70,87,76,15,13,13,2180,438
392,68,87,77,75,85,7,5,10,1906,401
380,75,78,65,85,77,16,15,8,2181,462
338,78,53,82,79,46,8,14,10,2006,434
263,60,29,77,75,22,7,10,10,1852,396
391,82,79,72,83,75,14,10,9,2072,432
88,11,16,14,28,19,68,76,87,1089,427
279,40,38,83,74,44,13,15,10,1885,405
363,78,76,57,83,69,10,15,14,2172,459
360,73,74,67,84,62,6,11,15,2190,478
356,78,77,57,74,70,11,6,8,2002,425
360,78,69,69,84,60,12,13,12,2149,466
365,78,66,53,86,82,10,8,10,2155,441
101,15,19,24,24,19,72,81,84,1279,442
388,82,77,78,80,71,15,16,10,2197,469
375,81,77,57,81,79,6,12,10,2023,427
354,76,81,53,76,68,9,10,10,2016,432
334,79,52,75,79,49,9,5,12,2020,439
395,76,86,69,79,85,14,7,15,2025,415
376,81,81,66,79,69,6,7,13,2104,447
100,18,13,17,36,16,82,82,83,1313,453
402,79,85,77,80,81,15,12,7,2216,473
123,25,11,18,51,18,85,79,82,1316,442
383,71,76,81,84,71,8,13,11,2262,481
338,68,55,84,78,53,6,8,10,1927,417
81,14,16,10,28,13,71,83,84,1310,443
359,82,59,81,77,60,14,10,16,2114,438
392,75,80,77,84,76,13,12,10,2172,455
379,74,82,67,77,79,9,8,16,2101,450
87,12,15,12,32,16,77,78,88,1317,460
366,72,79,67,81,67,7,13,13,2105,444
78,15,14,19,17,13,76,81,85,1288,437
55,10,8,11,18,8,77,83,78,1228,443
310,51,48,86,78,47,9,14,9,1938,410
368,80,62,76,84,66,10,14,10,2115,434
82,11,14,11,32,14,75,83,84,1264,450
395,77,80,80,81,77,10,11,5,2073,442
117,20,19,14,48,16,80,78,84,1380,461
344,76,56,72,82,58,14,13,12,2102,454
88,11,15,14,36,12,78,79,80,1333,454
86,11,11,12,33,19,71,79,87,1277,457
95,18,14,11,37,15,76,81,86,1374,456
409,90,84,62,83,90,15,5,14,2099,423
329,58,57,76,83,55,13,14,15,2024,439
400,73,83,86,78,80,4,4,5,1926,420
318,67,42,81,80,48,15,15,7,1976,420
353,79,82,46,83,63,16,13,12,2144,457
351,78,74,48,78,73,7,11,10,1986,431
82,14,11,16,30,11,79,79,82,1261,450
105,24,14,13,39,15,77,80,82,1361,461
343,72,58,78,78,57,7,12,7,2024,430
95,13,15,13,37,17,74,91,78,1292,429
371,75,75,58,84,79,5,10,8,2120,445
247,38,27,77,74,31,5,9,8,1754,372
366,81,68,51,88,78,10,6,14,1846,380
383,85,78,59,84,77,9,14,12,2039,424
386,84,77,59,85,81,12,5,9,2142,447
323,76,77,31,80,59,13,7,13,2030,434
399,78,81,79,82,79,10,10,15,2117,445
91,15,10,12,44,10,75,82,83,1405,461
372,90,60,80,78,64,8,16,6,2239,458
316,69,34,84,77,52,15,6,5,1924,418
403,83,80,80,79,81,10,9,6,2153,454
356,68,76,59,85,68,11,7,10,2119,450
330,83,67,44,77,59,11,5,11,1940,427
340,80,67,57,81,55,9,10,11,2107,453
248,34,29,82,73,30,13,7,12,1749,383
315,74,71,28,79,63,8,8,14,1881,414
376,77,77,70,80,72,11,15,12,1942,414
381,73,82,69,77,80,14,13,14,2060,428
348,81,64,68,76,59,11,10,15,2151,458
339,76,72,45,74,72,13,8,14,2071,443
359,53,85,77,69,75,14,12,8,1948,409
340,73,67,64,77,59,6,5,14,2111,467
323,61,53,70,82,57,14,10,9,2033,434
387,73,82,81,77,74,8,11,13,2099,449
378,68,85,82,71,72,7,8,7,1874,399
351,67,72,64,85,63,12,8,8,2005,436
327,82,51,69,78,47,15,7,7,2068,436
379,56,85,83,73,82,20,19,20,1904,400
351,81,59,66,81,64,9,10,14,2133,459
309,40,56,83,67,63,14,11,18,2003,413
311,78,47,68,76,42,14,7,10,2034,432
341,72,72,50,77,70,13,16,14,1945,412
355,69,68,79,80,59,5,6,8,2075,443
130,30,20,20,40,20,79,81,82,1246,437
372,42,86,88,76,80,14,16,12,1864,399
283,62,31,78,79,33,14,15,9,1884,412
331,81,56,60,80,54,6,12,11,2164,467
329,75,44,78,78,54,13,7,7,2071,441
378,79,73,64,84,78,10,14,12,2141,443
350,80,76,40,79,75,6,8,11,1994,419
342,81,72,35,84,70,14,12,14,2071,429
334,62,74,42,85,71,15,14,9,2078,438
341,74,76,45,75,71,15,14,15,1940,411
336,71,61,59,80,65,13,7,9,2102,448
376,76,79,73,74,74,14,10,13,2044,443
258,36,40,80,74,28,10,6,15,1790,403
316,78,49,69,76,44,12,10,6,1995,426
375,77,78,65,82,73,14,10,12,2178,461
375,74,77,68,81,75,7,8,8,1972,430
78,12,14,13,26,13,77,80,83,1281,447
369,83,75,54,81,76,13,7,14,2132,442
81,15,12,13,27,14,67,77,86,1258,433
360,50,85,81,72,72,11,10,8,1903,411
372,70,69,77,84,72,9,7,15,2166,459
346,74,69,53,80,70,15,11,15,2197,457
362,78,76,60,77,71,11,9,9,2002,428
345,68,60,75,78,64,7,12,12,2111,438
350,77,43,82,78,70,15,7,15,2027,423
364,67,72,83,76,66,11,14,15,2202,461
106,20,12,13,42,19,72,77,82,1384,458
350,79,70,45,80,76,12,11,11,2061,431
252,17,42,82,72,39,15,16,13,1741,386
320,72,62,34,84,68,7,6,16,2059,426
78,15,12,12,26,13,69,76,88,1208,434
290,68,32,81,75,34,10,12,8,1865,405
370,58,88,80,66,78,16,15,6,1955,405
126,17,19,15,55,20,87,77,85,1484,455
251,35,34,84,71,27,14,13,12,1680,362
379,69,86,69,78,77,13,8,16,2068,431
315,77,51,69,75,43,14,15,16,2026,435
381,76,70,72,76,87,10,11,10,2227,463
361,84,71,50,84,72,9,8,9,1954,410
309,87,39,65,80,38,9,15,9,2035,442
345,79,70,44,79,73,9,5,7,2024,443
340,80,62,74,78,46,12,11,9,2044,439
397,78,84,71,81,83,9,7,12,2097,440
379,53,85,78,78,85,14,8,5,1972,406
366,83,78,48,82,75,7,7,15,2023,425
108,17,10,12,50,19,77,80,79,1321,450
368,83,77,61,83,64,15,6,14,2025,428
383,81,70,75,80,77,15,6,9,2132,461
369,42,84,86,74,83,14,7,6,1958,420
91,11,11,16,37,16,76,84,82,1287,448
335,80,60,59,81,55,14,11,10,2065,451
363,73,76,65,84,65,9,14,9,2133,451
297,43,39,78,78,59,8,14,15,1871,402
365,83,64,67,81,70,13,6,9,2179,463
367,75,69,54,90,79,6,13,7,2014,420
396,83,71,83,83,76,13,9,12,2172,451
375,82,76,47,85,85,12,6,10,2084,435
370,74,75,73,76,72,9,5,14,2113,446
355,75,79,53,80,68,13,8,9,2053,438
385,79,80,63,83,80,5,13,9,2046,425
377,72,68,76,83,78,5,15,8,2068,430
321,58,43,85,77,58,9,11,8,1884,388
362,73,74,56,77,82,11,15,13,2058,445
284,49,43,83,75,34,7,14,16,1811,390
387,78,74,74,84,77,4,14,14,2157,454
80,11,11,12,33,13,74,82,81,1277,446
75,14,13,11,20,17,70,81,82,1256,443
80,10,10,10,31,19,72,80,83,1206,438
357,80,74,41,83,79,9,7,10,1915,399
338,65,72,61,81,59,15,7,16,2147,458
270,46,46,82,73,23,5,9,10,1856,404
97,15,14,13,37,18,82,82,83,1284,447
390,72,85,79,75,79,14,11,11,2018,424
306,40,56,80,67,63,15,17,19,1987,408
331,71,68,50,72,70,7,7,10,1916,417
378,59,84,87,73,75,13,12,6,1917,404
94,13,12,13,46,10,74,79,82,1330,448
345,77,75,45,80,68,15,6,12,1954,418
55,10,8,11,18,8,77,80,77,1208,435
322,77,51,69,78,47,15,7,7,2065,436
328,75,58,59,78,58,14,15,8,2050,435
335,73,72,44,79,67,8,14,10,1855,391
368,56,82,83,68,79,20,19,20,1902,402
279,40,38,83,74,44,13,12,17,1882,402
369,75,74,64,80,76,13,15,13,2062,428
327,69,59,56,84,59,13,8,7,2083,448
329,78,58,66,79,48,6,7,14,2007,433
337,67,75,45,78,72,5,13,6,1931,419
355,81,74,59,82,59,10,15,7,2118,451
73,14,9,13,32,5,70,77,83,1216,439
284,46,39,75,76,48,7,7,7,1825,402
301,72,48,77,70,34,15,12,15,1988,427
94,16,14,18,29,17,68,83,80,1217,436
356,77,78,59,81,61,13,8,12,1994,419
293,59,49,62,80,43,13,15,7,1928,407
361,80,65,72,78,66,7,7,7,2064,460
385,67,85,77,73,83,12,9,13,1915,407
252,39,31,82,66,34,6,7,13,1788,383
375,74,82,75,74,70,14,9,15,1974,439
355,82,59,70,83,61,13,11,11,2144,446
335,73,72,44,79,67,8,14,10,1834,383
361,48,83,86,69,75,7,5,14,1799,399
320,81,48,69,73,49,12,10,15,1954,422
351,73,74,57,73,74,6,15,14,1993,423
306,71,42,75,77,41,10,5,8,1990,426
292,48,41,75,73,55,8,12,11,1883,394
286,74,30,74,73,35,14,11,15,1950,423
87,12,13,13,34,15,78,81,81,1276,438
340,78,59,64,76,63,7,8,7,2020,441
327,74,68,41,82,62,16,7,13,2077,440
364,73,77,75,81,58,9,13,14,2177,461
325,70,67,53,76,59,12,7,7,1872,411
85,18,11,12,28,16,78,81,79,1271,435
344,68,77,52,72,75,15,9,11,2073,445
326,76,63,40,82,65,13,14,11,2132,452
330,62,71,40,83,74,12,7,11,2081,431
343,79,68,56,77,63,9,10,15,2026,428
324,72,59,78,74,41,10,7,7,1902,431
353,73,75,58,73,74,14,14,10,1993,425
298,62,42,77,79,38,8,7,9,1970,416
345,86,59,59,79,62,13,13,13,2152,447
356,71,61,79,83,62,4,4,4,2062,443
368,67,75,82,82,62,14,9,14,2185,458
99,20,18,15,31,15,74,80,84,1216,441
356,77,68,52,84,75,12,11,6,2080,445
333,66,63,63,81,60,12,11,11,2070,439
394,78,85,73,79,79,16,12,15,2056,425
345,76,69,51,75,74,7,6,9,2026,435
340,78,73,36,81,72,11,10,13,1958,421
322,68,52,71,81,50,5,14,14,1930,405
350,82,77,42,79,70,11,12,7,1894,402
364,42,88,84,68,82,12,14,7,1951,413
103,18,11,19,37,18,67,81,86,1299,431
344,80,72,56,78,58,9,9,7,2077,440
376,75,79,62,82,78,5,5,6,1996,423
367,81,71,72,77,66,10,16,10,2095,450
259,40,33,82,69,35,5,5,5,1706,375
333,72,74,46,82,59,11,14,14,2112,437
360,81,68,54,83,74,10,13,12,2100,444
348,76,64,55,84,69,8,8,8,2045,432
273,51,42,71,72,37,11,13,11,1969,414
356,71,74,65,80,66,15,9,14,2014,435
327,81,44,73,76,53,10,10,12,2051,435
377,79,74,64,81,79,5,13,8,2059,431
318,71,50,62,85,50,11,7,13,1973,416
363,77,73,65,84,64,6,7,10,2090,440
313,81,48,60,75,49,15,7,14,1996,435
296,70,32,78,78,38,10,15,7,1858,407
61,13,11,10,17,10,77,80,81,1151,438
336,53,65,84,70,64,9,13,10,2064,431
340,76,75,40,77,72,14,11,11,1945,419
354,82,70,48,80,74,7,6,12,1983,415
345,81,63,69,75,57,13,8,15,2113,459
262,50,32,80,77,23,15,10,9,1768,389
279,62,29,81,80,27,11,10,8,1845,403
323,86,28,75,77,57,14,13,7,1996,421
305,75,52,60,77,41,14,13,12,1966,424
353,81,64,71,78,59,9,15,7,2135,450
295,59,40,82,74,40,12,9,7,1862,394
384,74,84,73,75,78,6,14,6,2005,432
330,68,72,51,81,58,11,14,12,2051,425
103,23,11,14,40,15,82,79,82,1367,451
346,72,61,79,78,56,15,7,10,2107,444
386,73,77,78,81,77,8,8,7,2018,426
361,78,68,65,76,74,8,9,15,2064,444
372,78,73,64,80,77,14,5,7,2076,434
335,79,56,71,78,51,7,13,14,2070,432
372,54,82,84,78,74,16,15,8,1938,410
376,64,85,79,74,74,12,16,6,1929,405
312,57,55,78,79,43,13,12,8,2044,432
347,68,64,65,85,65,7,15,13,2131,447
363,63,72,75,79,74,8,6,7,2081,444
346,80,58,74,80,54,7,12,8,2048,441
351,81,57,75,77,61,15,16,9,2078,440
376,75,79,71,78,73,7,11,12,2134,452
401,66,80,93,78,84,8,8,11,1942,398
358,70,59,74,82,73,12,14,9,2016,418
304,48,43,79,83,51,10,13,12,1880,407
336,73,76,34,78,75,6,3,3,1925,404
338,76,55,72,77,58,9,3,5,2009,422
95,12,11,23,34,15,78,79,80,1316,449
333,72,57,85,71,48,13,11,13,1983,416
301,50,55,81,78,37,13,10,15,1839,391
375,65,82,83,65,80,12,8,11,1973,425
343,68,55,80,77,63,10,7,14,2062,426
355,75,76,59,80,65,13,9,8,2050,434
98,11,14,12,44,17,80,79,83,1311,442
312,63,48,72,75,54,11,12,13,1982,415
385,74,80,64,82,85,13,11,12,2103,429
306,60,33,77,72,64,6,15,7,1873,403
384,82,70,70,84,78,7,15,14,2176,452
118,35,11,20,39,13,77,78,82,1373,450
331,69,64,63,82,53,8,10,15,2120,454
360,77,64,77,78,64,14,6,12,2118,445
380,77,76,68,76,83,15,12,13,2103,433
290,49,47,80,67,47,7,9,15,1887,399
388,64,84,84,75,81,9,9,13,1905,402
374,79,75,69,80,71,10,13,13,2199,462
367,76,80,48,80,83,14,8,12,1970,407
391,80,83,90,83,55,14,16,15,2182,443
379,78,76,67,81,77,11,8,13,2115,442
381,55,83,84,79,80,6,9,5,1969,401
357,65,64,70,85,73,11,16,14,2152,457
278,52,28,78,74,46,16,15,8,1717,361
357,78,75,55,79,70,12,15,9,1934,399
83,19,13,18,23,10,78,82,84,1243,443
367,80,70,62,80,75,13,6,6,1971,416
374,86,62,66,84,76,10,8,6,2167,441
379,84,81,63,83,68,6,10,11,1959,412
383,66,84,69,79,85,5,4,4,1920,397
43,8,9,7,11,8,71,77,82,1179,446
340,36,84,69,78,73,8,5,10,1777,388
321,61,53,70,80,57,14,10,9,2035,438
316,79,48,69,71,49,14,14,18,1951,419
314,78,45,60,76,55,16,8,9,1990,419
374,77,75,69,81,72,16,9,9,2160,455
342,45,83,70,68,76,13,7,6,1853,411
349,77,75,43,78,76,13,12,11,2003,414
352,72,78,62,73,67,12,8,5,1929,404
251,46,26,79,75,25,5,14,14,1639,366
69,13,9,13,26,8,74,79,81,1042,412
262,45,32,78,75,32,8,14,13,1792,392
349,80,66,74,74,55,7,14,14,2012,442
355,75,73,64,75,68,8,9,7,2102,458
337,65,70,73,80,49,15,15,13,2043,429
291,79,20,75,79,38,14,7,7,1836,403
329,69,74,47,82,57,6,10,13,1956,413
365,77,78,52,77,81,8,12,6,2125,438
308,65,34,79,82,48,10,8,10,1954,426
355,70,66,77,80,62,6,10,11,2087,450
336,65,65,60,83,63,10,11,15,1991,424
323,76,64,83,72,28,7,13,14,1980,441
328,77,74,41,78,58,11,8,10,1896,412
314,73,70,39,73,59,13,8,14,1897,408
278,60,39,72,79,28,8,6,11,1903,409
251,39,31,69,79,33,14,5,9,1815,398
354,78,73,56,81,66,7,13,11,2069,442
324,81,45,73,77,48,10,5,14,1964,418
326,65,67,65,82,47,9,10,13,2049,435
366,61,82,70,72,81,9,7,11,1859,402
367,64,83,78,67,75,10,9,6,1944,420
379,79,73,75,82,70,12,15,13,2155,453
349,42,81,76,74,76,8,10,9,1907,400
43,8,9,7,11,8,71,77,82,1191,446
348,52,68,83,78,67,16,9,8,2099,446
328,75,58,59,78,58,14,15,8,2040,433
320,78,47,71,75,49,6,6,7,1930,423
314,78,45,60,76,55,16,8,9,2016,427
264,48,39,81,75,21,8,15,9,1788,404
358,76,76,53,76,77,7,14,6,2030,436
367,59,82,78,69,79,7,11,8,1968,411
362,50,81,74,79,78,13,9,7,1877,396
365,59,82,74,71,79,6,10,14,2023,437
367,74,67,71,86,69,10,13,11,2101,445
360,63,84,75,65,73,10,6,12,1836,393
363,65,80,78,65,75,13,11,11,1932,426
346,82,53,60,78,73,8,9,16,2046,432
355,75,77,50,81,72,12,7,15,2063,439
336,80,69,38,79,70,14,10,16,2132,449
306,79,48,71,76,32,9,7,16,2017,433
272,51,33,79,67,42,10,9,8,1828,394
251,28,32,81,78,32,9,10,8,1757,385
333,70,75,47,82,59,13,12,9,2061,438
335,76,72,48,76,63,9,13,7,2061,444
352,50,79,80,72,71,16,13,16,1862,396
315,61,65,58,81,50,9,10,14,2023,435
339,80,58,81,77,43,14,7,14,2007,428
277,55,37,71,78,36,11,14,10,1908,416
374,65,79,87,70,73,8,7,11,1939,416
389,73,79,77,80,80,6,13,16,1969,416
283,58,42,75,73,35,15,15,15,1842,407
280,77,25,77,78,23,14,11,11,1828,390
378,74,80,70,72,82,12,13,14,2012,436
308,59,41,65,86,57,16,11,7,1916,400
313,64,64,62,81,42,13,7,8,1953,422
317,78,51,60,77,51,8,7,14,2024,432
304,65,55,50,84,50,14,13,10,2002,425
309,79,66,40,72,52,11,12,7,1918,436
379,66,82,85,68,78,8,15,11,1945,409
375,77,78,64,77,79,13,16,8,2106,449
306,55,69,46,84,52,14,6,11,2026,426
231,35,19,81,64,32,10,11,12,1672,366
378,70,79,75,77,77,11,14,8,2052,430
355,79,69,65,77,65,13,12,6,2201,469
359,55,81,78,72,73,12,8,11,1968,412
250,59,30,59,80,22,13,15,16,1859,409
348,72,71,57,81,67,9,12,15,1893,396
316,79,62,67,75,33,13,9,7,2031,448
377,66,84,78,72,77,9,15,10,1947,405
268,49,36,79,79,25,8,6,8,1704,382
363,76,77,51,77,82,10,8,13,2001,413
231,35,20,79,73,24,7,9,14,1634,368
94,18,15,14,30,17,64,76,81,1229,423
336,89,66,59,77,45,11,8,11,2064,444
350,65,64,69,83,69,6,14,8,2030,428
101,17,14,19,31,20,69,79,81,1240,432
347,80,69,49,77,72,11,8,8,2069,444
336,77,52,62,85,60,14,14,12,2060,437
351,78,78,56,80,59,13,14,10,1958,408
54,10,5,10,20,9,75,79,79,1076,424
358,62,81,65,75,75,10,14,6,1914,413
344,73,72,49,82,68,14,10,8,1999,413
314,63,63,62,81,45,13,8,6,2092,443
315,52,54,82,70,57,8,11,12,1852,387
92,13,20,14,25,20,75,80,84,1205,421
316,63,48,76,77,52,7,16,10,2001,425
